Empresa,Receita Líq.,Lucro Líquido,Rentabilidade Receita,Capital de Giro,Sub-região,Cidade_normalizada,Cidade
RICARDO ALEXANDRE DE SOUZA TESOLIN,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RICARDO ALEXANDRE RIBEIRO DOS SANTOS,ND,ND,ND,ND,Desconhecida,colombo,Colombo
RICARDO JOSÉ XAVIER,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RICARDO LAMAS VIEIRA PINTO,ND,ND,ND,ND,Desconhecida,sao jose dos pinhais,São José dos Pinhais
RICARDO LUIZ SANTOS NEGRÃO,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RICSEN LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RILDO FAUSTO KOPS JUNIOR,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RINALDI ENGENHARIA CIVIL LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RINALDIN & TONETO LTDA,ND,ND,ND,ND,Desconhecida,campo largo,Campo Largo
RIO BONITO SOLUCOES EM COPROCESSAMENTO LTDA.,ND,ND,ND,ND,Desconhecida,balsa nova,Balsa Nova
RIO DE UNA ALIMENTOS LTDA,ND,ND,ND,ND,Desconhecida,sao jose dos pinhais,São José dos Pinhais
RIO VERDE COM E ASSIST DE BALANCAS LTDA,ND,ND,ND,ND,Desconhecida,pinhais,Pinhais
RIOLE-ELETRONICA LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RIONILE MADEIRAS LTDA,ND,ND,ND,ND,Desconhecida,rio branco do sul,Rio Branco do Sul
RIOS DISTRIBUIDORA DE ALIMENTOS LTDA,ND,ND,ND,ND,Desconhecida,colombo,Colombo
RISOTOLÂNDIA INDÚSTRIA E COMÉRCIO DE ALIMENTOS LTDA,ND,ND,ND,ND,Desconhecida,araucaria,Araucária
RISOTOLANDIA SERVICOS DE ALIMENTACAO LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RITA BOTELHO DE CARVALHO MIYAZAKI,ND,ND,ND,ND,Desconhecida,pinhais,Pinhais
RIVOLI - INDUSTRIA COMERCIO LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RMBPACK MAQUINAS E EMBALAGENS,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
ROBERLO DO BRASIL COM E DISTRIBUIDO DE PRODUTOS QUIMICOS LTDA,ND,ND,ND,ND,Desconhecida,colombo,Colombo
ROBERT BOSCH LIMITADA,ND,ND,ND,ND,Desconhecida,campina grande do sul,Campina Grande do Sul
ROBERT BOSCH LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
ROBERTO ANDREATINI,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
ROBERTO CARLOS MANOEL PINTO,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
ROBERTO CESAR ROLIM VALEIXO,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
ROBERTO J. SILVA REPRESENTACOES COMERCIAIS LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
ROBERTO MARTINHO LEITE E CIA LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
ROBERTO ROLDAN JUNIOR,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
ROBLOSKI MERCEARIA LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
ROBMASTER COMERCIO DE REFEICOES LTDA - ME,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
ROBSON LUIZ DOMINGOS,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
ROBSON PASSOS CAFFARO,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
ROCHAFARMA FARMÁCIA E PERFUMARIA LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
ROCHELLE PAES E DOCES LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RODINEI NOGUEIRA,ND,ND,ND,ND,Desconhecida,campo largo,Campo Largo
RODO LINEA IMPLEMENTOS PARA TRANSPORTE LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RODOLATINA LOGÍSTICA S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RODONAVES TRANSPORTES E ENCOMENDAS LTDA,ND,ND,ND,ND,Desconhecida,sao jose dos pinhais,São José dos Pinhais
RODOTIC IMPLEMENTOS RODOVIÁRIOS LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RODOVIARIO RAMOS LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RODOVIARIO RAMOS LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RODOWELL INDUSTRIA E COMERCIO LTDA - ME,ND,ND,ND,ND,Desconhecida,colombo,Colombo
RODRIGO ARANHA PEREIRA DE CASTILHO,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RODRIGO DE LUCA DIAS,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RODRIGO KRELLING,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RODRIGUES E MAGATON LTDA,ND,ND,ND,ND,Desconhecida,campo largo,Campo Largo
ROGEL ADRIANO DE MORAIS SERVIÇOS,ND,ND,ND,ND,Desconhecida,lapa,Lapa
